nome;idade;cpf;rg;data_nasc;mae;pai;email;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo
Sérgio Hugo Nicolas da Silva;59;027.571.524-83;32.813.315-2;09/03/1963;Elisa Giovana Benedita;César Francisco da Silva;sergiohugodasilva@maggitoyota.com.br;77823-794;Rua Polônia;316;Residencial Jardim Europa;Araguaína;TO;(63) 3799-4202;(63) 99983-0265;1,96;62;O-
Maya Analu da Luz;35;764.461.023-56;40.447.488-3;08/05/1987;Giovana Isabelly Eliane;Marcelo Rafael da Luz;maya_daluz@planicoop.com.br;57030-010;Rua Almirante Mascarenhas;639;Pajuçara;Maceió;AL;(82) 3904-0327;(82) 98928-4960;1,79;66;AB-
Simone Regina Joana Ribeiro;29;536.760.415-34;14.124.655-8;16/06/1993;Sophie Bianca Tânia;Sérgio Geraldo Miguel Ribeiro;simone_ribeiro@yahoo.it;45037-845;Rua TG-15;511;Espírito Santo;Vitória da Conquista;BA;(77) 3647-5178;(77) 98395-3253;1,55;70;O-
Guilherme Tiago Silva;45;622.698.500-33;41.550.693-1;10/02/1977;Malu Agatha Alessandra;Luan Raimundo Silva;guilherme_tiago_silva@amure.com.br;28070-599;Avenida Campista;970;Parque Guarus;Campos dos Goytacazes;RJ;(22) 2607-2341;(22) 98524-1385;1,65;55;A-
Carlos Heitor Bernardes;40;958.235.652-91;49.526.261-4;10/03/1982;Melissa Mariane;Gabriel Luan Bernardes;carlosheitorbernardes@gilconsultoria.com.br;72509-506;Quadra QR 309 Conjunto F;360;Santa Maria;Brasília;DF;(61) 2804-4814;(61) 98641-8542;2;89;B-
Samuel Bryan dos Santos;70;311.363.494-64;33.426.426-1;13/01/1952;Priscila Sônia;Kaique César dos Santos;samuelbryandossantos@escritoriogold.com.br;69314-462;Rua N-14;328;Doutor Sílvio Botelho;Boa Vista;RR;(95) 3933-5056;(95) 99661-4260;1,76;101;O-
Heloisa Caroline da Rosa;74;751.892.171-59;28.901.569-8;04/07/1948;Raimunda Ayla Isabelle;Fernando Leonardo da Rosa;heloisa.caroline.darosa@termakui.com.br;69101-080;Rua Álvaro Maia;705;Iraci;Itacoatiara;AM;(92) 3932-9308;(92) 99667-3581;1,84;83;O-
Isabelly Jéssica Assunção;60;048.979.779-24;46.014.469-8;25/01/1962;Ayla Tatiane;Paulo Matheus Assunção;isabelly_assuncao@wredenborg.se;57045-660;Avenida Menino Marcelo;625;Barro Duro;Maceió;AL;(82) 2725-6847;(82) 98415-1181;1,5;65;AB-
Andreia Agatha Costa;77;593.961.496-59;43.530.301-6;22/02/1945;Renata Marina;Lucca Nelson Costa;andreia_agatha_costa@myself.com;76811-282;Rua Marrocos;882;Castanheira;Porto Velho;RO;(69) 2620-6491;(69) 99431-7886;1,6;84;B+
Eliane Teresinha Rodrigues;65;835.011.532-79;33.487.947-4;03/07/1957;Carolina Amanda;Gustavo Thiago Rodrigues;eliane_teresinha_rodrigues@teravida.com.br;96216-025;Rua Capitão Josino Dutra;330;Parque Residencial Jardim do Sol;Rio Grande;RS;(53) 2654-6608;(53) 99219-4571;1,72;71;A-
Calebe Benício Corte Real;27;851.429.091-60;22.629.483-3;20/03/1995;Giovana Heloise;Cauê Nicolas Corte Real;calebe_benicio_cortereal@acesse.net;68908-480;Avenida José Alves Pessoa;743;São Lázaro;Macapá;AP;(96) 3653-6489;(96) 98665-4507;1,75;73;B-
Josefa Lara da Conceição;40;602.041.205-94;41.632.948-2;04/03/1982;Alana Joana;Felipe Eduardo da Conceição;josefa_daconceicao@br.flextronics.com;71825-213;Quadra QS 12 Conjunto 3B;111;Riacho Fundo I;Brasília;DF;(61) 2751-4887;(61) 98541-9106;1,82;82;O+
Giovanna Laís Francisca Mendes;49;115.615.907-54;14.373.630-9;09/07/1973;Aline Francisca Raquel;Jorge Igor Oliver Mendes;giovannalaismendes@petrobrais.com.br;78005-320;Praça Rachidy Jaudy;374;Centro Norte;Cuiabá;MT;(65) 2608-1198;(65) 99361-8317;1,72;80;A-
Elaine Teresinha Cardoso;76;900.903.276-08;36.784.062-5;10/06/1946;Sabrina Alessandra Elza;Cauê Otávio Cardoso;elaine_cardoso@kascher.com.br;23015-270;Rua Arumajo;542;Campo Grande;Rio de Janeiro;RJ;(21) 3992-9658;(21) 99721-2509;1,65;59;B-
Simone Andrea Antonella Aparício;24;428.771.750-30;42.824.241-8;13/03/1998;Isadora Nicole Carolina;Heitor Erick Sebastião Aparício;simone.andrea.aparicio@somma.net.br;38035-620;Rua das Papoulas;746;Lourdes;Uberaba;MG;(34) 3750-7361;(34) 99206-7332;1,67;51;B-
Victor Augusto Daniel da Cruz;73;587.524.336-84;30.387.727-3;06/05/1949;Betina Esther Eloá;Nelson Sérgio da Cruz;victoraugustodacruz@gerdau.com.br;29142-385;Rua Paraíba;230;Vila Isabel;Cariacica;ES;(27) 2822-0386;(27) 98873-9673;1,96;52;B+
Carolina Carolina Galvão;49;200.948.232-86;48.157.711-7;06/07/1973;Antonella Pietra Lavínia;Bruno Ruan Marcos Vinicius Galvão;carolina-galvao83@prokopetz.com.br;69310-048;Rua Ana Cecília Mota da Silva;143;Aeroporto;Boa Vista;RR;(95) 2956-2436;(95) 99598-1082;1,65;60;A-
Fábio Erick Augusto Barbosa;51;403.091.342-34;37.234.193-7;23/05/1971;Regina Antonella Gabrielly;Yuri Manuel Anderson Barbosa;fabioerickbarbosa@eccofibra.com.br;58103-514;Rua Antônio Francisco de Melo;515;Jardim Manguinhos;Cabedelo;PB;(83) 3571-9561;(83) 98844-2093;1,81;56;O+
Rosângela Eliane Cristiane da Cunha;24;599.782.741-03;30.433.217-3;22/03/1998;Vanessa Letícia;Nathan Márcio Anderson da Cunha;rosangela_eliane_dacunha@bfgadvogados.com;69921-082;Rua 12 de Abril;308;Vila Nova;Rio Branco;AC;(68) 3643-5543;(68) 98913-7402;1,68;57;B+
Lorenzo André Aragão;63;490.277.176-48;40.332.939-5;20/03/1959;Isabella Bruna Gabriela;Julio Mateus Sérgio Aragão;lorenzo_andre_aragao@gineco.med.br;04413-130;Rua Hipólito Raposo;329;Jardim Sul São Paulo;São Paulo;SP;(11) 2566-7748;(11) 99201-4115;1,84;103;AB+
Nicolas Julio Filipe da Cruz;55;964.234.569-25;43.052.760-3;25/02/67;Tatiane Sônia;Severino César José da Cruz;nicolasjuliodacruz@bds.com.br;13087-580;Rua José Felipe Alaite;111;Parque Rural Fazenda Santa Cândida;Campinas;SP;(19) 3739-4772;(19) 98448-7210;1,71;95;AB+
Heloisa Antônia da Mota;33;794.559.888-95;22.903.959-5;21/05/89;Fátima Mariah;Renan Pedro da Mota;heloisa_damota@hidracom.com.br;69041-660;Rua Filomena Teixeira Ferreira;859;Tarumã;Manaus;AM;(92) 2907-9145;(92) 98544-5934;1,52;58;AB-
Augusto Kaique Otávio da Luz;72;738.540.470-70;25.068.199-7;25/06/50;Emilly Fátima;Isaac André Pedro Henrique da Luz;augusto.kaique.daluz@netsinf.com.br;76909-843;Rua Governador Jorge Teixeira;567;Habitar Brasil;Ji-Paraná;RO;(69) 2649-2046;(69) 98480-6357;1,89;82;AB+
Henrique Edson Assunção;55;969.064.781-41;20.170.340-3;17/01/67;Jéssica Emanuelly;Eduardo Francisco Marcos Assunção;henrique_assuncao@multieventos.art.br;68928-084;Rodovia Duca Serra;260;Paraíso;Santana;AP;(96) 3738-8830;(96) 98727-5594;1,9;56;B-
Isabela Carolina Emanuelly da Cunha;68;459.421.598-07;40.730.081-8;14/06/54;Mariana Isadora Sandra;Theo Giovanni da Cunha;isabela_dacunha@scalioni.com.br;67133-432;Passagem São Francisco;177;Cidade Nova;Ananindeua;PA;(91) 2764-8360;(91) 99931-4905;1,72;88;AB+
Kamilly Patrícia Carvalho;69;061.405.627-67;12.318.580-4;06/04/53;Lara Rosa Sophie;Roberto Diego Thiago Carvalho;kamilly-carvalho93@companhiadigital.net;80220-270;Rua João Viana Seiler;373;Parolin;Curitiba;PR;(41) 2975-5402;(41) 98740-9570;1,65;70;AB+
Victor Vicente Osvaldo Duarte;80;422.924.154-29;47.976.646-0;22/02/42;Patrícia Priscila Allana;João Erick Danilo Duarte;victor_duarte@rgsa.com.br;86076-020;Rua Eduardo Kisser;355;Coliseu;Londrina;PR;(43) 2810-5255;(43) 99859-9223;1,99;96;A-
Pedro Hugo Silva;24;195.381.574-00;17.533.310-5;17/03/98;Ayla Marli Andrea;Manoel Pedro Henrique Silva;pedrohugosilva@dvdja.com.br;79113-000;Avenida Júlio de Castilho;538;Panamá;Campo Grande;MS;(67) 3714-4006;(67) 99783-7415;1,73;103;A-
Regina Agatha Daniela Ferreira;35;093.943.107-62;34.907.014-3;09/01/87;Tânia Lavínia;Enzo Emanuel Ferreira;regina_agatha_ferreira@mv1.com.br;78730-780;Rua Gentil Dalla Vechia;625;Jardim Residencial São José;Rondonópolis;MT;(66) 2751-5793;(66) 99638-7886;1,79;70;AB-
Tânia Esther Aragão;40;210.687.958-08;20.578.884-1;03/06/82;Tânia Vanessa;Emanuel Henrique Enrico Aragão;tania-aragao99@aquino.com.br;32310-672;Rua José Pedro e Silva;346;Eldorado;Contagem;MG;(31) 3512-5518;(31) 99161-3471;1,75;57;B+
Emilly Catarina Elza Lopes;41;768.037.054-04;24.079.701-2;25/03/81;Eliane Mariane Tereza;Breno Bernardo Gabriel Lopes;emillycatarinalopes@kuehne-nagel.com;89020-060;Rua Capitão Santos;287;Garcia;Blumenau;SC;(47) 2669-0962;(47) 98724-5515;1,7;52;O-
Lucca Noah Carlos Moraes;48;320.059.759-31;26.499.993-9;13/07/74;Manuela Benedita Letícia;Fernando Sebastião Kevin Moraes;lucca_moraes@ieee.org;69306-391;Rua Projetada-01;580;Nossa Senhora Aparecida;Boa Vista;RR;(95) 2651-8732;(95) 98611-4360;1,63;96;A+
Andrea Francisca da Paz;28;633.493.267-57;10.808.617-3;22/04/94;Gabriela Sandra;Yuri Francisco da Paz;andrea.francisca.dapaz@patrilarm.com.br;14806-476;Rua das Magnólias;731;Jardim Magnólias;Araraquara;SP;(16) 2633-6808;(16) 98319-7045;1,59;82;AB+
Thiago Thales Santos;42;741.985.952-32;15.928.666-9;13/01/80;Milena Cristiane;Emanuel Alexandre Vinicius Santos;thiago-santos74@davimil.com.br;78115-100;Rua Girassol;364;Ponte Nova;Várzea Grande;MT;(65) 2635-6712;(65) 98956-3094;1,79;97;A-
Benício Julio Felipe Teixeira;46;796.787.569-94;39.367.252-9;27/02/76;Laís Maria Louise;Osvaldo Miguel Nelson Teixeira;benicio_teixeira@andritz.com;73754-655;Quadra SQ 58 Conjunto A;214;Brasilinha 16 (Panorama);Planaltina;GO;(61) 3937-6407;(61) 98851-4627;1,68;109;AB+
Elaine Yasmin Castro;49;224.172.514-50;32.434.395-4;03/01/73;Jennifer Vanessa Brenda;Leandro Samuel Cauê Castro;elaine-castro80@escolajardim.com.br;86084-205;Rua Alfredo Maricato Filho;703;Jardim Planalto;Londrina;PR;(43) 3831-4390;(43) 99994-2922;1,83;54;O-
Luan Nathan Diogo Rodrigues;80;710.186.363-90;42.837.503-0;07/07/42;Sophia Analu;Sebastião Kaique Igor Rodrigues;luannathanrodrigues@lonza.com;08011-650;Rua Pedro Viviani;970;Jardim Alto Pedroso;São Paulo;SP;(11) 3727-0327;(11) 99829-4219;1,88;64;B-
Alana Camila Marli Sales;75;220.433.029-90;42.212.355-9;03/01/47;Liz Alícia Lorena;Sérgio Enzo Kaique Sales;alana.camila.sales@stilomovelaria.com.br;65911-820;Rua G;323;Vila Esmeralda;Imperatriz;MA;(98) 2655-5966;(98) 99105-2876;1,72;82;AB-
Rita Maya Nogueira;36;272.700.377-36;28.900.845-1;19/05/86;Gabriela Helena;Fernando Daniel Nogueira;rita_nogueira@vigaconstrucao.com.br;59142-520;Rua Netuno;358;Bela Parnamirim;Parnamirim;RN;(84) 2511-1402;(84) 98545-1220;1,81;49;AB+
Sueli Luana Kamilly Almeida;76;479.814.757-59;36.056.197-4;10/03/46;Gabriela Gabrielly Bruna;Yago Cláudio Almeida;sueli.luana.almeida@saojose.biz;58755-970;Rua São Roque 165;256;Centro;Princesa Isabel;PB;(83) 2838-8937;(83) 98388-3544;1,58;50;AB-
Eduardo Manuel da Rocha;80;380.090.993-68;20.976.870-8;08/03/42;Flávia Aline Cristiane;Elias Thales Osvaldo da Rocha;eduardomanueldarocha@unimedrio.com.br;69906-286;Travessa São Domingos;210;Triângulo Novo;Rio Branco;AC;(68) 3794-4234;(68) 98235-3957;1,83;77;B+
Elisa Aline Pires;21;019.206.750-86;22.095.932-8;03/05/01;Larissa Maria Isabelly;Martin Luan Luís Pires;elisa_pires@terrabrasil.com.br;69018-602;Rua Quartzo Rosa;105;Lago Azul;Manaus;AM;(92) 3705-8891;(92) 99598-5122;1,56;87;AB+
Thiago Thomas Dias;72;330.335.052-36;39.444.224-6;17/03/50;Melissa Andrea Raimunda;Anthony Erick Paulo Dias;thiago-dias73@bat.com;88048-409;Servidão Áurea Assunção;657;Rio Tavares;Florianópolis;SC;(48) 3826-3335;(48) 99270-7873;1,83;103;B+
Mirella Regina Louise da Rosa;64;932.459.913-55;25.908.598-4;07/05/58;Cláudia Marlene Rosa;Gabriel Pedro Henrique da Rosa;mirellareginadarosa@segplanet.com.br;82015-612;Rua Doutor Rafi Salum;695;São Braz;Curitiba;PR;(41) 2777-5416;(41) 98392-8612;1,72;82;B+
Jéssica Aparecida Tereza Lima;65;356.801.461-00;38.008.385-1;12/07/57;Isabelly Tereza Alice;Henry Henry Lima;jessica_aparecida_lima@caesarbusiness.com.br;60510-405;Rua Renato Viana;954;Henrique Jorge;Fortaleza;CE;(85) 2601-5691;(85) 99712-3267;1,65;73;O+
Isabelle Alessandra Analu Campos;60;653.349.162-88;43.298.086-6;24/05/62;Isabela Mariane;Carlos Diogo Renan Campos;isabelle_alessandra_campos@debiasi.com.br;69918-868;Rua Acimar Leitão;770;Geraldo Fleming;Rio Branco;AC;(68) 3940-9092;(68) 98688-8881;1,85;82;A-
Regina Adriana Julia Freitas;21;475.864.803-46;22.616.885-2;02/06/01;Mirella Elisa;Paulo Sebastião Freitas;regina.adriana.freitas@fitttransportes.com.br;24934-170;Rua Georgilei Rodrigues;163;Jardim Atlântico Central (Itaipuaçu);Maricá;RJ;(21) 2598-5166;(21) 99753-5994;1,64;70;AB+
Kauê Rafael Oliveira;55;484.995.879-68;32.162.332-0;11/02/67;Heloise Rita Simone;Pedro Enzo Oliveira;kaue_rafael_oliveira@brws.com.br;78040-480;Rua Goiás;879;Ribeirão da Ponte;Cuiabá;MT;(65) 2791-2932;(65) 99862-9185;1,94;110;AB-
Lúcia Luana Bruna Assis;20;964.906.505-92;18.701.437-1;06/05/02;Antônia Olivia Simone;Giovanni Igor Assis;lucia_luana_assis@alcastro.com.br;69901-761;Travessa do Barbeiro;271;Vitória;Rio Branco;AC;(68) 3533-6715;(68) 98745-3588;1,52;57;B+
Fabiana Sara dos Santos;78;576.827.783-85;40.441.054-6;17/01/44;Andreia Carla Esther;Eduardo Mário dos Santos;fabiana_sara_dossantos@unianhanguera.edu.br;79645-140;Rua Rui José da Costa;848;Jardim Paranapunga;Três Lagoas;MS;(67) 3759-8658;(67) 99999-1067;1,75;82;B-
Louise Ayla Débora Peixoto;28;707.944.393-81;22.055.641-6;03/05/94;Aline Julia;Pedro Henrique Leandro Giovanni Peixoto;louise_ayla_peixoto@bat.com;40279-710;Rua Jaguaruana;556;Parque Bela Vista;Salvador;BA;(71) 2891-9126;(71) 99155-8735;1,52;62;B+
Matheus Eduardo Rodrigo Viana;39;552.214.476-90;25.998.969-1;25/06/83;Milena Sophie Flávia;Davi Miguel Enrico Viana;matheus-viana89@csjsistemas.com.br;65636-208;Rua Vicente Juvêncio de Paula;418;São Benedito;Timon;MA;(86) 2541-8962;(86) 99584-2776;1,92;85;O-
Elias Francisco Fernando Moraes;77;657.877.624-95;47.550.517-7;01/03/45;Nicole Lívia;Thiago Pedro Henrique Moraes;elias_moraes@technocut.com.br;74354-210;Rua 6-B;266;Setor Garavelo;Goiânia;GO;(62) 2746-6439;(62) 98298-5277;1,98;90;AB-
Calebe Rafael Caleb Moreira;33;558.109.456-00;23.361.507-6;23/03/89;Stella Mariane Antonella;Manoel Carlos Eduardo Severino Moreira;calebe.rafael.moreira@transporteveloz.com.br;58046-514;Rua Iraci de Barros Soares;854;Portal do Sol;João Pessoa;PB;(83) 3748-6312;(83) 98868-9829;2;94;O-
Tatiane Antonella Patrícia Martins;39;911.753.125-09;43.955.366-0;18/05/83;Letícia Bárbara Jaqueline;Severino Nicolas Martins;tatiane.antonella.martins@outlook.com;69310-725;Rua São Rafael;139;Said Salomão;Boa Vista;RR;(95) 3610-6991;(95) 99662-9123;1,68;86;A+
Tiago Edson Matheus da Mata;74;436.852.674-00;30.879.970-7;17/03/48;Stella Daiane;Yuri Benício Raimundo da Mata;tiagoedsondamata@doublesp.com.br;68900-017;Passagem Abraan Peres;996;Central;Macapá;AP;(96) 3816-1889;(96) 98619-4744;1,95;56;A-
Matheus Benedito Ryan da Cunha;26;524.807.676-55;46.910.778-9;20/05/96;Julia Jennifer Mariana;Mateus Leonardo da Cunha;matheus_dacunha@right.com.br;69317-185;Avenida Nazaré Filgueiras;119;Alvorada;Boa Vista;RR;(95) 3664-1385;(95) 98707-5600;1,68;77;O+
Julio Matheus Silva;66;137.405.646-44;35.928.460-7;13/03/56;Tatiane Cecília Jaqueline;Vicente Thales Thiago Silva;julio.matheus.silva@aquino.com.br;69314-094;Rua Tucunaré;962;Santa Tereza;Boa Vista;RR;(95) 2821-9947;(95) 99362-5398;1,93;88;A+
Vicente Geraldo Ryan Nascimento;71;804.996.707-79;19.185.045-7;17/01/51;Benedita Alícia Adriana;Cláudio Guilherme Nascimento;vicente.geraldo.nascimento@dddrin.com.br;60347-205;Vila Antero;868;Vila Velha;Fortaleza;CE;(85) 3553-6674;(85) 98277-9827;1,9;73;A-
Bruna Isabel Vieira;61;067.773.969-93;30.096.017-7;13/07/61;Sophia Carolina Luna;Francisco Kauê Vieira;brunaisabelvieira@fortlar.com.br;76871-276;Avenida Campinas;762;Jardim Paulista;Ariquemes;RO;(69) 3961-2640;(69) 99797-7160;1,72;46;AB-
Leonardo Ruan Ryan Pinto;30;600.674.936-02;28.608.584-7;21/01/92;Sophie Lívia;Giovanni Raimundo Pinto;leonardo_ruan_pinto@gtx.ag;49092-230;Travessa Wellington Paixão;217;Olaria;Aracaju;SE;(79) 3566-1527;(79) 98224-0283;1,91;52;B-
Louise Lúcia Tatiane Jesus;59;313.440.737-00;24.133.235-7;02/06/63;Gabrielly Antônia;Antonio Noah Benedito Jesus;louise-jesus90@bplan.com.br;60527-295;Vila Rainha da Paz;773;Autran Nunes;Fortaleza;CE;(85) 3504-1498;(85) 98935-8017;1,73;66;A+
Mariah Stefany Gonçalves;76;707.081.417-81;12.799.935-8;03/06/46;Isabel Benedita;Carlos Eduardo Anderson Pietro Gonçalves;mariah_goncalves@johndeere.com;55002-100;Rua Cônego Luís Gonzaga;642;Nossa Senhora das Dores;Caruaru;PE;(81) 3650-9614;(81) 99193-1360;1,55;77;O-
Filipe Luís Roberto da Rosa;34;041.938.942-31;25.685.059-8;26/05/88;Allana Aurora;Francisco Luiz da Rosa;filipe-darosa87@gastrolight.com.br;67030-115;Passagem Sete de Setembro;764;Centro;Ananindeua;PA;(91) 2984-5929;(91) 99628-2035;1,83;94;AB+
Murilo Lorenzo Lorenzo Souza;72;482.313.780-90;33.142.100-8;22/05/50;Rosa Débora;Pedro Henrique Nicolas Souza;murilo-souza70@br.loreal.com;79906-088;Rua Sérgio Antônio Duarte;793;Flanboyant Residencial Park;Ponta Porã;MS;(67) 3832-8652;(67) 99178-1375;1,94;64;O+
Benedita Letícia Caldeira;33;007.630.712-34;41.217.243-4;07/06/89;Sabrina Jéssica;Levi Raimundo Marcelo Caldeira;beneditaleticiacaldeira@aliancacadeiras.com.br;68902-330;Avenida Raimundo Nonato Banha Corrêa;450;Muca;Macapá;AP;(96) 3606-2776;(96) 99405-1001;1,78;79;O+
Giovanni Tomás da Cruz;42;549.789.651-01;19.692.180-6;10/05/80;Vera Evelyn;Samuel Carlos Eduardo Enrico da Cruz;giovanni.tomas.dacruz@centrooleo.com.br;77818-070;Rua Araguana;174;Loteamento Manoel Gomes da Cunha;Araguaína;TO;(63) 2573-8233;(63) 99407-4960;1,62;104;B-
Daniel Thiago Caleb Moura;30;455.646.586-98;32.509.808-6;04/02/92;Bruna Carolina;Jorge Murilo Moura;daniel-moura90@clinicamedicofacil.com.br;26113-455;Rua Itapui;190;Bairro das Graças;Belford Roxo;RJ;(21) 3820-6889;(21) 99589-3198;1,83;77;B-
Juliana Lara Rebeca Nogueira;79;018.137.296-70;42.710.110-4;26/03/43;Rita Stella;Marcelo Rodrigo Nogueira;juliana_lara_nogueira@machiv.com.br;75513-060;Rua Canápolis;598;Jardim Liberdade;Itumbiara;GO;(62) 3901-4125;(62) 98646-6554;1,78;87;A+
Cristiane Benedita Gomes;61;229.172.204-22;45.965.656-9;06/06/61;Regina Letícia Luciana;Thales Davi Gomes;cristiane_gomes@mpcnet.com.br;88505-236;Rua São Bento do Sul;863;Petrópolis;Lages;SC;(49) 3712-3884;(49) 98125-4969;1,52;81;A+
Tânia Josefa Clarice Costa;78;277.817.600-42;42.228.081-1;01/01/44;Nina Andreia;Cláudio Ryan Vitor Costa;tania-costa96@sfreitasadvogados.com.br;76870-394;Rua Jacundá;470;Setor 03;Ariquemes;RO;(69) 3768-9952;(69) 99640-4371;1,62;64;O-
Diogo Igor Elias Rodrigues;28;167.855.438-35;16.440.740-6;14/05/94;Rayssa Sabrina;Murilo Enrico Luiz Rodrigues;diogo_igor_rodrigues@babo.adv.br;77016-504;Quadra 607 Sul Alameda 7;210;Plano Diretor Sul;Palmas;TO;(63) 2773-0554;(63) 98841-3492;1,68;77;A+
Thomas Lucca Raimundo Figueiredo;33;995.370.404-02;47.482.581-4;24/06/89;Manuela Ester Isadora;Hugo Enrico Figueiredo;thomas_lucca_figueiredo@maiamaquinas.com.br;93548-130;Rua Lageado;452;Mauá;Novo Hamburgo;RS;(51) 3894-8064;(51) 99743-3643;1,87;51;B-
Helena Tatiane Alessandra da Silva;69;840.592.756-54;28.163.649-7;07/01/53;Isabella Sophia Stella;Heitor Breno Ian da Silva;helenatatianedasilva@genesyslab.com;64207-542;Rua Particular;806;Planalto de Monteserra The;Parnaíba;PI;(86) 3552-2452;(86) 99974-5907;1,59;89;O-
Eduarda Valentina Almada;22;556.527.078-28;21.976.657-5;09/07/00;Mariah Lívia;Ruan Gael Almada;eduardavalentinaalmada@cancaonova.com;38302-214;Rua SC-4;302;Universitário;Ituiutaba;MG;(34) 2823-0947;(34) 99593-8775;1,82;73;B+
Danilo Davi Oliveira;68;437.104.020-93;50.422.178-4;15/01/54;Aparecida Bruna Pietra;Vitor Vitor Oliveira;danilo_oliveira@arganet.com.br;29100-460;Rua Armando Rosemberg Menezes;134;Centro de Vila Velha;Vila Velha;ES;(27) 3646-1576;(27) 98905-0192;1,81;63;B-
Luan Giovanni Brito;19;892.156.795-02;32.845.284-1;12/06/03;Raquel Daniela Andreia;Severino Luiz Manuel Brito;luan.giovanni.brito@netsite.com.br;15502-250;Rua Mariano Lima Braga;614;Chácara Aviação;Votuporanga;SP;(17) 3587-4618;(17) 99523-4852;1,9;96;A+
Eliane Sueli Teixeira;56;375.564.734-65;38.255.168-0;13/02/66;Stefany Luiza;Vicente César Diogo Teixeira;eliane_teixeira@bemarius.com.br;80540-190;Rua Doutor Bezerra de Menezes;202;Ahú;Curitiba;PR;(41) 2780-5171;(41) 98813-4058;1,76;90;B+
Benício Breno Yuri da Paz;63;328.559.566-33;10.359.275-1;08/03/59;Cecília Elza;Nicolas Nathan Sérgio da Paz;benicio_breno_dapaz@victorseguros.com.br;13257-893;Rua Paulo Galdin;801;Loteamento Caminhos do Sol;Itatiba;SP;(11) 3967-7552;(11) 98683-5013;1,72;90;A+
Joaquim Oliver Carvalho;48;321.778.263-14;29.707.726-0;17/05/74;Rayssa Vera;Tomás Bryan Anderson Carvalho;joaquimolivercarvalho@yahoo.ca;49063-149;Travessa Nossa Senhora da Conceição;594;Japãozinho;Aracaju;SE;(79) 3795-2458;(79) 98773-5586;1,94;87;AB-
